DEPTH_LSF,UCAV,RHON,GR_RAB,GRMA,BPHI,TNPH,A40B,RES_BD,P16B,VCO,VSH
139.276,9.422498,1.797309,77.38557,57.00623,53.1036,53.1457,1.662737,1.92653,1.54333,,
139.4284,9.341875,1.758505,79.32709,56.41726,53.0834,51.5286,1.694873,1.430451,1.563392,,
139.5808,9.380832,1.735438,79.31344,55.24358,54.3222,52.5906,1.714809,2.019051,1.59689,,
139.7332,9.458467,1.731379,79.15988,54.44805,57.8609,58.4253,1.836476,2.060637,1.693166,,
139.8856,9.412922,1.741464,79.15988,53.10867,54.5077,53.1427,1.898738,2.386009,1.623208,,
140.038,9.796377,1.748695,76.69287,52.26971,56.1324,56.1903,1.901071,2.748375,1.715252,,
140.1904,9.6168,1.755886,74.37418,53.42552,51.7893,49.3919,1.853201,15.71219,1.821294,,
140.3428,9.575567,1.786583,71.89165,54.2061,51.7673,50.5335,1.801468,2.237514,1.667081,,
140.4952,9.293293,1.812731,72.85315,56.76951,52.9761,53.5775,1.761775,2.483244,1.536559,,
140.6476,9.231799,1.806899,77.83138,58.34604,50.5507,49.386,1.722003,1.781907,1.583542,,
140.8,9.323563,1.786613,81.09299,59.14798,50.7292,48.9051,1.741719,1.464904,1.561679,,
140.9524,9.241252,1.771781,80.87079,57.96642,52.0244,50.3669,1.777866,2.006233,1.553912,,
141.1048,9.257086,1.74557,77.7453,57.40173,60.8178,64.7303,1.767583,1.936193,1.577177,,
141.2572,9.32681,1.741788,76.51015,57.60456,53.2402,51.115,1.817135,2.212102,1.469899,,
141.4096,9.417656,1.745383,76.75918,59.76472,57.9193,59.2032,1.79141,2.64233,1.545475,,
141.562,9.385419,1.782336,75.541,61.02438,53.2216,52.721,1.758111,1.900626,1.623377,,
141.7144,9.352815,1.800439,76.42432,62.70727,54.8286,56.2438,1.721341,2.139587,1.684756,,
141.8668,9.172103,1.828608,77.65055,63.25957,48.0688,46.3547,1.688876,2.289498,1.583824,,
142.0192,9.222909,1.830988,75.43661,62.36759,47.2486,45.2159,1.655271,1.7398,1.464624,,
142.1716,9.210485,1.831241,74.70736,61.62407,52.6003,53.7195,1.673143,1.837708,1.368472,,
142.324,9.145634,1.838105,77.17724,57.85679,50.672,50.7797,1.672896,1.517235,1.402282,,
142.4764,9.193044,1.829692,77.10346,56.94549,52.1711,52.9265,1.713392,1.784458,1.481841,,
142.6288,9.456237,1.811991,75.17276,55.80358,48.6505,46.6521,1.711455,1.885573,1.538208,,
142.7812,9.364241,1.796414,76.76316,58.02203,55.3843,57.0468,1.687134,2.086138,1.599763,,
142.9336,9.267773,1.771136,80.02173,58.5243,54.8952,55.0574,1.681673,2.192522,1.5153,,
143.086,9.186259,1.72608,81.71063,59.10252,58.4374,59.2053,1.650684,1.861962,1.461643,,
143.2384,9.408041,1.705502,81.31817,56.4975,56.0172,54.1005,1.621098,2.09331,1.378033,,
143.3908,9.437499,1.684386,80.17,52.77338,61.6842,63.1013,1.648033,1.839607,1.240593,,
143.5432,9.503016,1.668006,81.54005,49.86232,59.2209,57.8201,1.651741,1.64496,1.270316,,
143.6956,9.400217,1.669678,83.59769,51.03698,61.2233,61.4718,1.665597,0.8103667,1.271692,,
143.848,9.261516,1.686008,82.66109,53.57796,54.3831,50.7061,1.605568,0.8308474,1.60297,,
144.0004,9.433516,1.708294,79.96547,56.54284,54.0314,51.0358,1.642457,1.798345,1.418889,,
144.1528,9.367157,1.738782,79.08133,57.23242,53.7856,51.8628,1.616698,1.957681,1.585243,,
144.3052,9.234132,1.751042,78.84885,58.04831,56.8095,57.4808,1.617267,1.623069,1.502273,,
144.4576,9.052506,1.755848,76.82058,57.5893,57.5162,58.9761,1.625262,1.642771,1.519542,,
144.61,9.095628,1.764885,76.46294,60.78303,54.1387,53.5131,1.593296,1.746449,1.530623,,
144.7624,9.120099,1.771055,79.73373,61.26503,54.6805,54.6875,1.588445,1.995486,1.489085,,
144.9148,9.149292,1.771685,83.55193,61.84715,54.7781,54.8809,1.549874,1.88243,1.479928,,
